name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Jonnu Smith,MIA,TE,29.6,4185,4144,13193,1731,169,16,-113
RJ Harvey,null,RB,null,12601,12489,UNK,1727,170,48,-14
Jordan Mason,SF,RB,25.8,5469,8408,15972,1727,171,49,182
Rashid Shaheed,NO,WR,26.6,2354,8676,16080,1709,172,58,-84
Darnell Mooney,ATL,WR,27.4,3901,7090,14974,1707,173,59,-25
Jaylen Wright,MIA,RB,22,11781,11643,16610,1702,174,50,48
2025 Pick 2.11,null,PICK,null,15662,DP_1_10,DP_1_10,1698,175,27,-95
Jayden Higgins,null,WR,null,12652,12484,UNK,1692,176,60,11
Tua Tagovailoa,MIA,QB,27.1,6092,6768,14778,1683,177,24,-74
Pat Freiermuth,PIT,TE,26.4,2550,7600,15331,1668,178,17,-28
Braelon Allen,NYJ,RB,21.2,11748,11576,16596,1664,179,51,-189
Jalen Royals,null,WR,null,12671,12505,UNK,1655,180,61,-36
Tank Dell,HOU,WR,25.4,9950,9502,16204,1643,181,62,-239
2025 Pick 2.12,null,PICK,null,15663,DP_1_11,DP_1_11,1642,182,28,-95
Jake Ferguson,DAL,TE,26.2,6785,8110,15799,1633,183,18,-115
Cade Otton,TB,TE,25.9,2021,8111,15802,1632,184,19,-100
Blake Corum,LAR,RB,24.3,11747,11586,16593,1617,185,52,-58
Isaac Guerendo,SF,RB,24.7,11789,11651,16688,1611,186,53,55
Justin Fields,PIT,QB,26.1,7191,7591,15238,1601,187,25,383
Bhayshul Tuten,null,RB,null,12620,12490,UNK,1599,188,54,34
Damien Martinez,null,RB,null,12633,12462,UNK,1594,189,55,-99
2025 Pick 3.01,null,PICK,null,15682,DP_2_0,DP_2_0,1592,190,29,-93
Harold Fannin,null,TE,null,12659,12506,UNK,1582,191,20,-179
Xavier Restrepo,null,WR,null,12649,12520,UNK,1582,192,63,-65
Christian Kirk,JAX,WR,28.4,8090,4950,13633,1582,193,64,162
2025 Pick 3.02,null,PICK,null,15683,DP_2_1,DP_2_1,1544,194,30,-92
Tez Johnson,null,WR,null,12667,12485,UNK,1543,195,65,-119
Sam Darnold,MIN,QB,27.8,8007,4943,13592,1535,196,26,58
Quentin Johnston,LAC,WR,23.6,9879,9754,16188,1529,197,66,-76
Romeo Doubs,GB,WR,25,2419,8121,15779,1515,198,67,-93
Tyler Allgeier,ATL,RB,24.9,6408,8132,15712,1510,199,56,-66
2026 Round 2,null,PICK,null,9663,FP_2026_2,FP_2026_2,1506,200,31,-71
2025 Pick 3.03,null,PICK,null,15684,DP_2_2,DP_2_2,1499,201,32,-91
Marvin Mims,DEN,WR,23,9955,9494,16189,1499,202,68,-124
Elijah Arroyo,null,TE,null,12650,12521,UNK,1490,203,21,-7
Anthony Richardson,IND,QB,22.8,9951,9229,16152,1481,204,27,-309
Jordan James,null,RB,null,12657,12467,UNK,1477,205,57,-29
Cole Kmet,CHI,TE,26,4857,6826,14867,1469,206,22,-122
2027 Round 2,null,PICK,null,9693,FP_2027_2,FP_2027_2,1460,207,33,-22
2025 Pick 3.04,null,PICK,null,15685,DP_2_3,DP_2_3,1455,208,34,-90
Adonai Mitchell,IND,WR,22.5,11711,11625,16626,1454,209,69,-60
Rico Dowdle,DAL,RB,26.8,1465,7021,14823,1452,210,58,-341
Ray Davis,BUF,RB,25.4,11699,11575,16603,1442,211,59,-143
Dallas Goedert,PHI,TE,30.2,5988,5022,13674,1441,212,23,-13
Nick Chubb,CLE,RB,29.2,4188,4988,13610,1438,213,60,-76
Ja'Tavion Sanders,CAR,TE,22,11714,11600,16643,1436,214,24,-40
Rashod Bateman,BAL,WR,25.3,7410,7571,15293,1433,215,70,-3
Cedric Tillman,CLE,WR,24.9,9904,10444,16191,1428,216,71,-253
Hollywood Brown,KC,WR,27.8,3950,5848,14105,1419,217,72,38
2025 Pick 3.05,null,PICK,null,15686,DP_2_4,DP_2_4,1415,218,35,-89
Jack Bech,null,WR,null,12626,12483,UNK,1384,219,73,-31
Jalen Coker,CAR,WR,23.4,11783,11646,16809,1378,220,74,-76
2025 Pick 3.06,null,PICK,null,15687,DP_2_5,DP_2_5,1377,221,36,-88
MarShawn Lloyd,GB,RB,24.2,11729,11581,16604,1377,222,61,-45
Amari Cooper,BUF,WR,30.8,2301,2309,12175,1371,223,75,-127
Jerome Ford,CLE,RB,25.5,8319,8143,15713,1368,224,62,-298
2025 Round 3,null,PICK,null,9634,FP_2025_3,FP_2025_3,1359,225,37,-87
Brenton Strange,JAX,TE,24.2,9948,9480,16269,1347,226,25,405
2025 Pick 3.07,null,PICK,null,15688,DP_2_6,DP_2_6,1341,227,38,-86
Wan'Dale Robinson,NYG,WR,24.2,4091,8126,15757,1340,228,76,-140
Ben Sinnott,WAS,TE,22.8,11746,11596,16644,1314,229,26,-100
Keenan Allen,CHI,WR,32.9,1334,1479,11222,1310,230,77,-196
2025 Pick 3.08,null,PICK,null,15689,DP_2_7,DP_2_7,1306,231,39,-86
Michael Mayer,LV,TE,23.7,9931,9482,16212,1306,232,27,458
Matthew Stafford,LAR,QB,37.1,3611,421,9431,1279,233,28,214
Christian Watson,GB,WR,25.9,5981,8167,15789,1276,234,78,-48
2025 Pick 3.09,null,PICK,null,15690,DP_2_8,DP_2_8,1274,235,40,-84
Mason Taylor,null,TE,null,12642,12498,UNK,1256,236,28,17
2025 Pick 3.10,null,PICK,null,15691,DP_2_9,DP_2_9,1243,237,41,-84
DeMario Douglas,NE,WR,24.3,9840,9501,16342,1240,238,79,-93
Jaxson Dart,null,QB,null,12609,12508,UNK,1222,239,29,43
2025 Pick 3.11,null,PICK,null,15692,DP_2_10,DP_2_10,1214,240,42,-82
Brashard Smith,null,RB,null,12591,12455,UNK,1208,241,63,-8
Jalen Milroe,null,QB,null,12665,12510,UNK,1207,242,30,-99
Jordan Whittington,LAR,WR,24.5,11721,11623,16633,1206,243,80,-72
