name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Caleb Williams,CHI,QB,23.4,11708,11560,16579,1205,87,10,244
Kyler Murray,ARI,QB,27.6,3544,5849,14056,1203,88,11,-47
George Pickens,PIT,WR,24.1,1436,8137,15762,1179,89,37,-285
Stefon Diggs,HOU,WR,31.3,3214,2449,12186,1160,90,38,280
J.K. Dobbins,LAC,RB,26.3,5149,6806,14800,1129,91,34,-252
Evan Engram,JAX,TE,30.6,3648,4066,13189,1129,92,9,571
Luther Burden,null,WR,null,12590,12519,UNK,1123,93,39,-41
Baker Mayfield,TB,QB,30,2737,4892,13590,1095,94,12,-433
Rachaad White,TB,RB,26.2,2187,8136,15721,1094,95,35,-92
Jayden Reed,GB,WR,24.9,9863,10222,16184,1085,96,40,-152
Zach Charbonnet,SEA,RB,24.2,9921,9753,16169,1076,97,36,-279
C.J. Stroud,HOU,QB,23.5,9838,9758,16150,1049,98,13,-271
Calvin Ridley,TEN,WR,30.3,41,4981,13629,1020,99,41,193
Emeka Egbuka,null,WR,null,12595,12514,UNK,1006,100,42,172
Jakobi Meyers,LV,WR,28.4,2463,5947,14127,984,101,43,200
Jaylen Warren,PIT,RB,26.4,6285,8228,15742,955,102,37,162
Xavier Worthy,KC,WR,21.9,11736,11624,16620,923,103,44,-123
Travis Hunter,null,WR,null,12617,12530,UNK,913,104,45,-103
Michael Pittman,IND,WR,27.5,8259,6819,14842,902,105,46,-349
Jared Goff,DET,QB,30.5,8587,3163,12611,900,106,14,-93
Tyler Warren,null,TE,null,12592,12518,UNK,859,107,10,227
Nick Chubb,CLE,RB,29.2,4188,4988,13610,801,108,38,-51
Ricky Pearsall,SF,WR,24.5,11752,11638,16622,797,109,47,207
Drake Maye,NE,QB,22.6,11696,11564,16580,785,110,15,-160
Cam Skattebo,null,RB,null,12643,12481,UNK,770,111,39,106
Dak Prescott,DAL,QB,31.7,6637,3294,12620,750,112,16,-265
Jauan Jennings,SF,WR,27.7,2631,7049,14860,741,113,48,86
Khalil Shakir,BUF,WR,25.1,8607,8134,15761,719,114,49,21
Jordan Mason,SF,RB,25.8,5469,8408,15972,706,115,40,305
Jonnu Smith,MIA,TE,29.6,4185,4144,13193,696,116,11,-65
Devin Neal,null,RB,null,12618,12476,UNK,657,117,41,-11
